Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,175000,181500,173000,177000,176626.0469,960824
2021-10-01,178000,183000,176000,178500,178122.8906,728384
2021-10-05,176500,181500,173000,176000,175628.1719,782525
2021-10-06,178500,180000,161000,162000,161657.75,1045574
2021-10-07,165000,167000,158000,163500,163154.5781,593003
2021-10-08,165500,172500,149000,157500,157167.25,2744738
2021-10-12,156000,160500,154500,155000,154672.5313,643583
2021-10-13,155500,159500,152500,156500,156169.3594,581713
2021-10-14,159000,164000,157500,164000,163653.5156,729778
2021-10-15,165500,166000,159500,162000,161657.75,370963
2021-10-18,161500,164000,159000,160500,160160.9063,331830
2021-10-19,162000,164500,160000,162000,161657.75,406406
2021-10-20,162500,162500,155000,155500,155171.4844,677731
2021-10-21,155500,156000,150500,153000,152676.7656,596788
2021-10-22,151500,153500,147000,148000,147687.3281,625765
2021-10-25,147000,151500,144000,150500,150182.0469,536293
2021-10-26,153000,153500,149500,150500,150182.0469,253219
2021-10-27,150500,151000,148500,149000,148685.2031,225423
2021-10-28,149000,149000,145000,145500,145192.6094,291196
2021-10-29,145500,149000,144500,145500,145192.6094,254281
2021-11-01,145000,146000,141000,144500,144194.7188,302680
2021-11-02,145000,147000,144000,144500,144194.7188,198319
2021-11-03,145000,149000,145000,145000,144693.6563,252818
2021-11-04,147500,147500,144500,146000,145691.5469,224739
2021-11-05,148000,151000,146000,149500,149184.1563,459001
2021-11-08,150000,150000,144000,145000,144693.6563,293077
2021-11-09,144500,146000,143000,144500,144194.7188,267748
2021-11-10,144000,145000,140000,140000,139704.2188,315899
2021-11-11,140000,143000,139000,140000,139704.2188,356220
2021-11-12,141500,145500,140000,142500,142198.9375,295443
2021-11-15,143000,148000,143000,145500,145192.6094,302142
2021-11-16,145500,146500,143500,145500,145192.6094,185936
2021-11-17,146500,148000,142000,143000,142697.8906,302508
2021-11-18,143000,144500,141000,143500,143196.8281,246180
2021-11-19,143000,147500,142500,147000,146689.4375,242769
2021-11-22,147000,147000,143000,145500,145192.6094,253283
2021-11-23,144000,150500,144000,150000,149683.0938,396523
2021-11-24,151000,154000,148000,152500,152177.8125,492193
2021-11-25,155000,164500,153500,163500,163154.5781,1567316
2021-11-26,164500,171500,157500,159000,158664.0781,1150823
2021-11-29,154500,159500,153500,155000,154672.5313,678916
2021-11-30,158000,165500,155500,157500,157167.25,1200666
2021-12-01,160500,161000,148000,157500,157167.25,1079633
2021-12-02,153000,156500,145500,149000,148685.2031,1273394
2021-12-03,151000,154000,149000,150000,149683.0938,518206
2021-12-06,148000,149500,146000,148000,147687.3281,367554
2021-12-07,148500,149500,145000,146500,146190.4844,349578
2021-12-08,148000,149000,146500,146500,146190.4844,389942
2021-12-09,147500,150500,146500,149500,149184.1563,378329
2021-12-10,148000,149000,145000,145000,144693.6563,365724
2021-12-13,146000,147000,144500,144500,144194.7188,293592
2021-12-14,144000,147000,143000,145000,144693.6563,247371
2021-12-15,145000,146000,143000,144500,144194.7188,203012
2021-12-16,146500,146500,144500,145000,144693.6563,148834
2021-12-17,144000,147500,143500,145500,145192.6094,220844
2021-12-20,144500,145000,142500,142500,142198.9375,209352
2021-12-21,143000,143500,139000,142500,142198.9375,342119
2021-12-22,143500,145000,141000,141000,140702.1094,200374
2021-12-23,142500,146000,142000,142500,142198.9375,253104
2021-12-24,143500,145000,143000,144000,143695.7656,215512
2021-12-27,144000,145500,142000,142000,141700,173238
2021-12-28,142500,144000,141500,142000,141700,362036
2021-12-29,145000,145000,142000,142500,142500,248666
2021-12-30,142500,144500,141000,144000,144000,226547
2022-01-04,144500,145000,142000,142000,142000,170073
2022-01-05,141500,142000,137000,138000,138000,463124
2022-01-06,135500,138000,133000,134000,134000,385905
2022-01-07,133500,135000,132500,133500,133500,256719
2022-01-10,133000,133500,128000,130500,130500,301408
2022-01-11,130500,131500,126000,126500,126500,363145
2022-01-12,128000,133500,128000,132500,132500,296466
2022-01-13,134500,136000,131500,132000,132000,266952
2022-01-14,130500,131500,128000,130000,130000,167325
2022-01-17,129000,131000,127500,128000,128000,151445
2022-01-18,127500,130000,126500,126500,126500,134486
2022-01-19,124500,128500,124500,125500,125500,191283
2022-01-20,124500,127500,124500,127500,127500,169339
2022-01-21,127500,129500,126000,127000,127000,200477
2022-01-24,128000,129000,123500,124000,124000,245197
2022-01-25,124000,125000,119500,120000,120000,321852
2022-01-26,120000,120000,120000,120000,120000,0
2022-01-27,116000,116500,107000,108000,108000,744097
2022-01-28,106500,113000,103000,110500,110500,717089
2022-02-03,113500,115000,112000,112000,112000,244066
2022-02-04,111000,114000,110500,114000,114000,140206
2022-02-07,114500,114500,109500,111500,111500,272587
2022-02-08,111500,111500,111500,111500,111500,0
2022-02-09,111500,111500,111500,111500,111500,0
2022-02-10,116000,116500,113000,113000,113000,228366
2022-02-11,110000,114500,109500,113000,113000,181686
2022-02-14,110000,111500,108000,109000,109000,218772
2022-02-15,108500,111000,107000,109000,109000,154037
2022-02-16,111500,114500,111500,114500,114500,158785
2022-02-17,115000,118500,112000,115000,115000,333522
2022-02-18,112000,116500,111500,116000,116000,176016
2022-02-21,116000,116000,116000,116000,116000,0
2022-02-22,116000,116000,116000,116000,116000,0
2022-02-23,116000,116000,116000,116000,116000,0
2022-02-24,112000,113500,108000,109500,109500,261491
2022-02-25,111500,114500,111500,114000,114000,196547
2022-02-28,114000,114000,114000,114000,114000,0
2022-03-02,114000,115000,112500,114500,114500,214872
2022-03-03,116000,118000,115000,117500,117500,193958
2022-03-04,117500,117500,117500,117500,117500,0
2022-03-07,113000,113000,109500,111000,111000,323766
2022-03-08,111500,112500,102000,103000,103000,986148
2022-03-10,103000,103000,103000,103000,103000,0
2022-03-11,103500,103500,100000,101000,101000,544035
2022-03-14,99900,100000,96100,98900,98900,586248
2022-03-15,98900,98900,98900,98900,98900,0
